สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน,ข้อเสนอแนะ,ข้อเสนอแนะเพิ่มเติม
"ตรงแผน","520003287281","B15896","สาขา หน้าศูนย์ราชการเพชรบูรณ์","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-01 09:50:50","2024-06-01 11:06:44","ระบุปัญหาที่พบ (ถ้ามี)","ไม่พบ"
"ตรงแผน","520003758836","B03223","สาขา หนองขาว","RSU","RSU7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 12:22:54","2024-06-02 13:48:11","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003758756","B09643","สาขา วังสารภี","RSU","RSU7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-01 13:56:12","2024-06-01 17:16:53","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003758784","B10076","สาขา ชุมชนเขาตอง","RSU","RSU7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-01 10:35:33","2024-06-01 12:04:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520003759113","B19499","บ้านท่าอาจ (RN)","RN","RN6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 09:22:54","2024-06-02 11:09:45","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020275","B00172","สาขา อิสระภาพ-11(สี่แยกบ้านแขก)","BW","BW3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 00:25:30","2024-06-03 01:20:52","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020471","B00717","สาขา นครพนม","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 16:00:34","2024-06-02 18:15:06","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020514","B00831","สาขา สายไหม","BE","BE8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 21:32:20","2024-06-05 22:25:54","ระบุปัญหาที่พบ (ถ้ามี)","ถังน้ำสแตนเลส"
"ตรงแผน","520004020661","B01230","สาขา สันติสุข","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 21:38:18","2024-06-04 02:28:34","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020674","B01265","สาขา ตลาดชัยพร","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 10:10:44","2024-06-04 11:47:58","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020797","B01686","สาขา บ้านพักตำรวจส่วนกลาง ลาดยาว","BE","BE1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 19:02:03","2024-06-05 19:32:39","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020803","B01713","สาขา ท้องศาลา","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 15:48:53","2024-06-02 17:55:10","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020915","B02187","สาขา เชิงมนต์","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 12:40:28","2024-06-03 13:19:28","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004020998","B02455","สาขา โรงพยาบาลหนองคาย","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 14:10:19","2024-06-04 17:22:08","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021021","B02517","สาขา ราณีเพลส","BE","BE2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-01 09:36:38","2024-06-01 09:46:39","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021329","B03476","สาขา สายไหม ซ.6","BE","BE8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-05 23:17:45","2024-06-05 23:56:36","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021537","B04010","สาขา ปตท.เด่นห้า","RN","RN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 12:56:01","2024-06-02 13:26:16","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021617","B04282","สาขา สามแยกบ่อนไก่","RSU","RSU2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-03 10:40:13","2024-06-03 10:54:47","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021669","B04392","สาขา ปตท.เลี่ยงเมืองนครพนม","NEU","NEU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-02 18:37:00","2024-06-02 19:50:53","ระบุปัญหาที่พบ (ถ้ามี)",""
"ตรงแผน","520004021696","B04452","สาขา บางกระดี่ 15","BW","BW6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-06-02","2024-06-04 04:09:46","2024-06-04 04:25:11","ระบุปัญหาที่พบ (ถ้ามี)",""
